Country,Area,Age,Survey Availability ,Year,Time use,Women
Spain, ,Age:20-74,2005 and later,2009-10,"Unpaid domestic, care and volunteer work",4.55
Spain, ,Age:20-74,2005 and later,2009-10,Paid and subsistence work,2.35
State of Palestine, ,Age:10+,1995 - 2004,1999-00,"Unpaid domestic, care and volunteer work",5.016666667
State of Palestine, ,Age:10+,1995 - 2004,1999-00,Paid and subsistence work,0.533333333
State of Palestine, ,Age:10+,2005 and later,2012-13,"Unpaid domestic, care and volunteer work",4.883333333
State of Palestine, ,Age:10+,2005 and later,2012-13,Paid and subsistence work,0.6
Sweden, ,Age:20-64,1995 - 2004,2000-01,"Unpaid domestic, care and volunteer work",4.133333333
Sweden, ,Age:20-64,1995 - 2004,2000-01,Paid and subsistence work,3.683333333
Sweden, ,Age:20-64,2005 and later,2010-11,"Unpaid domestic, care and volunteer work",3.833333333
Sweden, ,Age:20-64,2005 and later,2010-11,Paid and subsistence work,4.2
Switzerland, ,Age:20-74,1995 - 2004,2004,"Unpaid domestic, care and volunteer work",4.666666667
Switzerland, ,Age:20-74,1995 - 2004,2000,"Unpaid domestic, care and volunteer work",4.683333333
Switzerland, ,Age:20-74,1995 - 2004,1997,"Unpaid domestic, care and volunteer work",4.85
Switzerland, ,Age:20-74,1995 - 2004,2004,Paid and subsistence work,2.483333333
Switzerland, ,Age:20-74,1995 - 2004,2000,Paid and subsistence work,2.5
Switzerland, ,Age:20-74,1995 - 2004,1997,Paid and subsistence work,2.316666667
Switzerland, ,Age:20-74,2005 and later,2013,"Unpaid domestic, care and volunteer work",4.233333333
Switzerland, ,Age:20-74,2005 and later,2010,"Unpaid domestic, care and volunteer work",4.233333333
Switzerland, ,Age:20-74,2005 and later,2007,"Unpaid domestic, care and volunteer work",4.65
Switzerland, ,Age:20-74,2005 and later,2013,Paid and subsistence work,2.583333333
Switzerland, ,Age:20-74,2005 and later,2010,Paid and subsistence work,2.616666667
Switzerland, ,Age:20-74,2005 and later,2007,Paid and subsistence work,2.516666667
Thailand, ,Age:10+,2005 and later,2009,"Unpaid domestic, care and volunteer work",3.166666667
Thailand, ,Age:10+,2005 and later,2009,Paid and subsistence work,4.5
The former Yugoslav Republic of Macedonia, ,Age:10+,2005 and later,2009,"Unpaid domestic, care and volunteer work",4.016666667
The former Yugoslav Republic of Macedonia, ,Age:10+,2005 and later,2009,Paid and subsistence work,1.85
The former Yugoslav Republic of Macedonia, ,Age:20-74,1995 - 2004,2004,"Unpaid domestic, care and volunteer work",5.7
The former Yugoslav Republic of Macedonia, ,Age:20-74,1995 - 2004,2004,Paid and subsistence work,2.083333333
The former Yugoslav Republic of Macedonia, ,Age:20-74,2005 and later,2009,"Unpaid domestic, care and volunteer work",4.75
The former Yugoslav Republic of Macedonia, ,Age:20-74,2005 and later,2009,Paid and subsistence work,2.283333333
Tunisia, ,Age:15+,2005 and later,2005-06,"Unpaid domestic, care and volunteer work",5.366666667
Tunisia, ,Age:15+,2005 and later,2005-06,Paid and subsistence work,1.75
Turkey, ,Age:15+,2005 and later,2014-15,"Unpaid domestic, care and volunteer work",5.516666667
Turkey, ,Age:15+,2005 and later,2006,"Unpaid domestic, care and volunteer work",6.183333333
Turkey, ,Age:15+,2005 and later,2014-15,Paid and subsistence work,1.266666667
Turkey, ,Age:15+,2005 and later,2006,Paid and subsistence work,1.133333333
Turkey, ,Age:20-74,2005 and later,2006,"Unpaid domestic, care and volunteer work",5.283333333
Turkey, ,Age:20-74,2005 and later,2006,Paid and subsistence work,1.133333333
United Kingdom of Great Britain and Northern Ireland, ,Age:16+,1995 - 2004,2000-01,"Unpaid domestic, care and volunteer work",4.35
United Kingdom of Great Britain and Northern Ireland, ,Age:16+,1995 - 2004,2000-01,Paid and subsistence work,2.116666667
United Kingdom of Great Britain and Northern Ireland, ,Age:16+,2005 and later,2005,"Unpaid domestic, care and volunteer work",3.866666667
United Kingdom of Great Britain and Northern Ireland, ,Age:16+,2005 and later,2005,Paid and subsistence work,2.2
United Kingdom of Great Britain and Northern Ireland, ,Age:20-74,2005 and later,2005,"Unpaid domestic, care and volunteer work",3.533333333
United Kingdom of Great Britain and Northern Ireland, ,Age:20-74,2005 and later,2005,Paid and subsistence work,2.2
United Republic of Tanzania, ,Age:5+,2005 and later,2014,"Unpaid domestic, care and volunteer work",3.966666667
United Republic of Tanzania, ,Age:5+,2005 and later,2006,"Unpaid domestic, care and volunteer work",3.533333333
United Republic of Tanzania, ,Age:5+,2005 and later,2014,Paid and subsistence work,3.25
United Republic of Tanzania, ,Age:5+,2005 and later,2006,Paid and subsistence work,3.416666667
United Republic of Tanzania, ,Age:15+,2005 and later,2006,"Unpaid domestic, care and volunteer work",4.233333333
United Republic of Tanzania, ,Age:15+,2005 and later,2006,Paid and subsistence work,4.166666667
United States of America, ,Age:15+,1995 - 2004,2004,"Unpaid domestic, care and volunteer work",4.466666667
United States of America, ,Age:15+,1995 - 2004,2003,"Unpaid domestic, care and volunteer work",4.433333333
United States of America, ,Age:15+,1995 - 2004,2004,Paid and subsistence work,2.966666667
United States of America, ,Age:15+,1995 - 2004,2003,Paid and subsistence work,2.9
United States of America, ,Age:15+,2005 and later,2014,"Unpaid domestic, care and volunteer work",4.1
United States of America, ,Age:15+,2005 and later,2013,"Unpaid domestic, care and volunteer work",4.116666667
United States of America, ,Age:15+,2005 and later,2012,"Unpaid domestic, care and volunteer work",4.016666667
United States of America, ,Age:15+,2005 and later,2011,"Unpaid domestic, care and volunteer work",4.033333333
United States of America, ,Age:15+,2005 and later,2010,"Unpaid domestic, care and volunteer work",4.083333333
United States of America, ,Age:15+,2005 and later,2009,"Unpaid domestic, care and volunteer work",4.183333333
United States of America, ,Age:15+,2005 and later,2008,"Unpaid domestic, care and volunteer work",4.183333333
United States of America, ,Age:15+,2005 and later,2007,"Unpaid domestic, care and volunteer work",4.266666667
United States of America, ,Age:15+,2005 and later,2006,"Unpaid domestic, care and volunteer work",4.266666667
United States of America, ,Age:15+,2005 and later,2005,"Unpaid domestic, care and volunteer work",4.366666667
United States of America, ,Age:15+,2005 and later,2014,Paid and subsistence work,2.95
United States of America, ,Age:15+,2005 and later,2013,Paid and subsistence work,2.783333333
United States of America, ,Age:15+,2005 and later,2012,Paid and subsistence work,2.95
United States of America, ,Age:15+,2005 and later,2011,Paid and subsistence work,2.933333333
United States of America, ,Age:15+,2005 and later,2010,Paid and subsistence work,2.933333333
United States of America, ,Age:15+,2005 and later,2009,Paid and subsistence work,2.833333333
United States of America, ,Age:15+,2005 and later,2008,Paid and subsistence work,2.983333333
United States of America, ,Age:15+,2005 and later,2007,Paid and subsistence work,3.15
United States of America, ,Age:15+,2005 and later,2006,Paid and subsistence work,3
United States of America, ,Age:15+,2005 and later,2005,Paid and subsistence work,3
United States of America, ,Age:15+,2015,2015,"Unpaid domestic, care and volunteer work",4.183333333
United States of America, ,Age:15+,2015,2015,Paid and subsistence work,2.933333333
Uruguay, ,Age:14+,2005 and later,2013,"Unpaid domestic, care and volunteer work",5.133333333
Uruguay, ,Age:14+,2005 and later,2007,"Unpaid domestic, care and volunteer work",4.966666667
Uruguay, ,Age:14+,2005 and later,2013,Paid and subsistence work,2.766666667
Uruguay, ,Age:14+,2005 and later,2007,Paid and subsistence work,2.666666667
Uruguay, ,Age:15+,2005 and later,2007,"Unpaid domestic, care and volunteer work",6.05
Uruguay, ,Age:15+,2005 and later,2007,Paid and subsistence work,2.616666667
